frame,timestamp,plate,yolo_confidence,ocr_confidence,final_confidence,x1,y1,x2,y2
775,12.917,VQ8HVF,0.678,0.3247,0.4373,1023,1896,1218,1971
775,12.917,HNA,0.4904,0.296,0.2972,2466,1944,2616,2007
780,13.0,VOBHVF,0.6456,0.963,0.8241,996,1914,1215,1989
780,13.0,HNIACI,0.3805,0.3265,0.3786,2481,1962,2625,2034
785,13.083,VOBHVF,0.6382,0.6912,0.729,990,1932,1200,2007
785,13.083,HNACD,0.6349,0.4347,0.3943,2478,1980,2646,2052
785,13.083,NQBHVF,0.3624,0.3228,0.376,981,1923,1212,2022
790,13.167,VOBHVF,0.7403,0.8239,0.7282,975,1947,1194,2022
790,13.167,HNIACD,0.485,0.4628,0.474,2478,1998,2652,2067
795,13.25,WOBHHUE,0.7505,0.2675,0.3373,960,1968,1191,2043
795,13.25,LLCD,0.5789,0.1276,0.1793,2490,2019,2655,2097
800,13.333,LDBIHVE,0.5544,0.1379,0.2465,957,1986,1173,2070
805,13.417,LBHVE,0.6756,0.3335,0.3235,936,2010,1164,2097
805,13.417,HCD,0.5926,0.4733,0.4213,2487,2067,2718,2151
810,13.5,WOHVF,0.5522,0.346,0.3322,933,2031,1152,2109
810,13.5,HNACDY,0.3982,0.7192,0.6535,2505,2082,2727,2160
815,13.583,WOHVF,0.6541,0.3903,0.3477,921,2055,1146,2130
820,13.667,VOBHVF,0.6249,0.7109,0.7081,918,2076,1134,2148
820,13.667,0G65USJ,0.5358,0.3348,0.4443,2571,1623,2763,1695
830,13.833,0G6SUSJ,0.373,0.0942,0.2459,2577,1650,2766,1725
830,13.833,MSQJ,0.3694,0.4902,0.4331,1170,1506,1326,1563
835,13.917,BG65USJ,0.5988,0.6674,0.7072,2574,1665,2775,1743
840,14.0,BG6SSJ,0.4699,0.5549,0.5984,2574,1677,2778,1761
845,14.083,BG6SUSJ,0.4722,0.7546,0.7382,2580,1695,2775,1770
855,14.25,BG6SUSJ,0.586,0.6657,0.7071,2583,1725,2793,1806
855,14.25,MSAKGJ,0.4392,0.5454,0.5318,1134,1554,1299,1608
860,14.333,BG6SUSJ,0.5258,0.8406,0.7375,2574,1743,2781,1812
865,14.417,BG65USJ,0.7336,0.8169,0.7595,2583,1764,2790,1842
870,14.5,BG65USJ,0.7107,0.6673,0.742,2574,1776,2790,1851
875,14.583,BG65USJ,0.4516,0.4333,0.6924,2577,1797,2799,1875
880,14.667,8G65USJ,0.7252,0.6186,0.643,2580,1815,2790,1884
885,14.75,8G65USJ,0.6171,0.5148,0.6067,2583,1827,2805,1908
890,14.833,BG65USJ,0.6671,0.4503,0.6649,2574,1848,2793,1926
895,14.917,1BG6SUSJ,0.6583,0.3858,0.5101,2583,1872,2805,1950
900,15.0,BG6SUSJ,0.5995,0.4934,0.692,2577,1887,2793,1968
900,15.0,MSKG,0.368,0.3217,0.3152,1086,1650,1257,1710
905,15.083,BG6SUSJ,0.6672,0.5461,0.6721,2580,1911,2793,1986
910,15.167,BG65U5J,0.6618,0.4402,0.5482,2586,1923,2808,2004
915,15.25,BG65USJ,0.511,0.408,0.6417,2580,1947,2799,2019
915,15.25,MSKGJ,0.3581,0.5016,0.4411,1071,1683,1242,1749
920,15.333,1G65US,0.6366,0.3376,0.4463,2586,1968,2811,2046
920,15.333,MAS4KGJ,0.4042,0.4282,0.5098,1071,1695,1248,1752
925,15.417,BG65U5J,0.7074,0.5433,0.5842,2577,1992,2808,2067
930,15.5,18565USJ,0.6871,0.1703,0.3892,2589,2013,2820,2088
935,15.583,8G65USJ,0.5161,0.3176,0.5486,2592,2031,2814,2106
940,15.667,05G5USJ,0.7031,0.224,0.3668,2592,2058,2823,2133
945,15.75,0G65US,0.6159,0.8034,0.7724,2598,2070,2820,2154
950,15.833,AK64OLV,0.4855,0.359,0.4913,1287,1422,1449,1491
960,16.0,AK64OHM,0.3633,0.1466,0.3426,1254,1440,1446,1509
970,16.167,AKBADHV,0.4622,0.3041,0.3628,1260,1461,1431,1527
970,16.167,MSKD,0.3586,0.5548,0.4784,1026,1833,1230,1899
975,16.25,,0.4097,0.0,0.4097,2397,1635,3063,1905
975,16.25,LK6E,0.3817,0.1011,0.2207,1251,1464,1428,1530
980,16.333,AKBADHV,0.4438,0.5513,0.4494,1248,1479,1437,1539
980,16.333,WGAKGI,0.3709,0.2033,0.2923,1014,1866,1206,1935
980,16.333,,0.366,0.0,0.366,2397,1641,3072,1935
985,16.417,AKGAOHV,0.4938,0.1041,0.2228,1236,1485,1425,1551
985,16.417,MSKGJ,0.4636,0.4446,0.4212,1023,1884,1206,1950
990,16.5,AK64DHV,0.4354,0.2381,0.4067,1224,1491,1422,1560
995,16.583,AKSADH,0.5731,0.29,0.353,1230,1500,1410,1572
1000,16.667,AKEADHV,0.4868,0.2122,0.2986,1218,1509,1407,1581
1005,16.75,,0.5479,0.0,0.5479,2403,1764,3111,2064
1005,16.75,KKBADHV,0.4345,0.2915,0.3541,1212,1524,1398,1587
1010,16.833,AKBADLV,0.675,0.3209,0.3746,1209,1530,1401,1593
1010,16.833,,0.3821,0.0,0.3821,2406,1755,3126,2076
1015,16.917,AKEADMV,0.7192,0.2873,0.3511,1194,1536,1398,1608
